imu,t,o,r,p,y,temp,press,alt
IMU3,16.66,1,-107.43,-1.94,-73.62,25.9,103557.0,184.19
IMU1,16.67,1,-101.42,-4.01,-0.0,25.4,103316.0,164.46
IMU2,16.67,1,-27.32,-4.52,-28.68,25.1,103481.0,177.97
IMU3,16.67,1,-107.45,-2.03,-73.54,25.9,103557.0,184.19
IMU1,16.68,1,-101.42,-4.01,-0.0,25.4,103316.0,164.46
IMU2,16.68,1,-27.77,-4.52,-28.31,25.1,103481.0,177.97
IMU3,16.68,1,-107.51,-2.18,-73.43,25.9,103557.0,184.19
IMU1,16.69,1,-101.42,-4.01,-0.0,25.4,103316.0,164.46
IMU2,16.69,1,-27.9,-4.57,-28.1,25.1,103481.0,177.97
IMU3,16.69,1,-107.57,-2.33,-73.32,25.9,103557.0,184.19
IMU1,16.7,1,-101.43,-4.01,-0.0,25.4,103316.0,164.46
IMU2,16.7,1,-28.02,-4.62,-27.89,25.1,103481.0,177.97
IMU3,16.7,1,-107.56,-2.06,-73.46,25.9,103557.0,184.19
IMU1,16.71,1,-101.43,-4.01,-0.0,25.4,103322.0,164.95
IMU2,16.71,1,-27.87,-4.56,-28.03,25.1,103478.0,177.72
IMU3,16.71,1,-107.56,-2.07,-73.45,25.9,103562.0,184.6
IMU1,16.72,1,-101.43,-4.01,-0.0,25.4,103322.0,164.95
IMU2,16.72,1,-27.74,-4.51,-28.15,25.1,103478.0,177.72
IMU3,16.72,1,-107.53,-1.99,-73.53,25.9,103562.0,184.6
IMU1,16.73,1,-101.43,-4.01,-0.0,25.4,103322.0,164.95
IMU2,16.73,1,-27.87,-4.57,-27.94,25.1,103478.0,177.72
IMU3,16.73,1,-107.52,-1.94,-73.56,25.9,103562.0,184.6
IMU1,16.74,1,-101.44,-4.01,-0.0,25.4,103322.0,164.95
IMU2,16.74,1,-27.73,-4.51,-28.07,25.1,103478.0,177.72
IMU3,16.74,1,-107.5,-1.89,-73.58,25.9,103562.0,184.6
IMU1,16.75,1,-101.44,-4.01,-0.0,25.4,103322.0,164.95
IMU2,16.75,1,-27.59,-4.46,-28.2,25.1,103478.0,177.72
IMU3,16.75,1,-107.47,-1.82,-73.66,25.9,103562.0,184.6
IMU1,16.76,1,-101.44,-4.01,-0.0,25.4,103322.0,164.95
IMU2,16.76,1,-27.46,-4.41,-28.33,25.1,103478.0,177.72
IMU3,16.76,1,-107.45,-1.74,-73.73,25.9,103562.0,184.6
IMU1,16.77,1,-101.45,-4.0,-0.0,25.4,103322.0,164.95
IMU2,16.77,1,-27.33,-4.35,-28.45,25.1,103478.0,177.72
IMU3,16.77,1,-107.56,-1.95,-73.62,25.9,103562.0,184.6
IMU1,16.78,1,-101.45,-4.0,-0.0,25.4,103322.0,164.95
IMU2,16.78,1,-27.2,-4.3,-28.58,25.1,103478.0,177.72
IMU3,16.78,1,-107.54,-1.91,-73.65,25.9,103562.0,184.6
IMU1,16.79,1,-101.45,-4.01,-0.0,25.4,103322.0,164.95
IMU2,16.79,1,-27.34,-4.36,-28.37,25.1,103478.0,177.72
IMU3,16.79,1,-107.52,-1.87,-73.67,25.9,103562.0,184.6
IMU1,16.8,1,-101.45,-4.01,-0.0,25.4,103322.0,164.95
IMU2,16.8,1,-27.48,-4.42,-28.16,25.1,103478.0,177.72
IMU3,16.8,1,-107.58,-2.03,-73.56,25.9,103562.0,184.6
IMU1,16.81,1,-101.46,-4.0,-0.0,25.4,103319.0,164.7
IMU2,16.81,1,-27.95,-4.4,-27.74,25.1,103486.0,178.38
IMU3,16.81,1,-107.58,-2.04,-73.55,25.9,103558.0,184.27
IMU1,16.82,1,-101.46,-4.0,-0.0,25.4,103319.0,164.7
IMU2,16.82,1,-28.07,-4.45,-27.53,25.1,103486.0,178.38
IMU3,16.82,1,-107.57,-1.76,-73.71,25.9,103558.0,184.27
IMU1,16.83,1,-101.46,-4.0,-0.0,25.4,103319.0,164.7
IMU2,16.83,1,-28.19,-4.51,-27.33,25.1,103486.0,178.38
IMU3,16.83,1,-107.57,-1.49,-73.88,25.9,103558.0,184.27
IMU1,16.84,1,-101.46,-4.0,-0.0,25.4,103319.0,164.7
IMU2,16.84,1,-28.3,-4.56,-27.12,25.1,103486.0,178.38
IMU3,16.84,1,-107.62,-1.64,-73.77,25.9,103558.0,184.27
IMU1,16.85,1,-101.46,-4.0,-0.0,25.4,103319.0,164.7
IMU2,16.85,1,-28.42,-4.6,-26.91,25.1,103486.0,178.38
IMU3,16.85,1,-107.6,-1.61,-73.8,25.9,103558.0,184.27
IMU1,16.86,1,-101.47,-4.0,-0.0,25.4,103319.0,164.7
IMU2,16.86,1,-28.25,-4.54,-27.06,25.1,103486.0,178.38
IMU3,16.86,1,-107.58,-1.59,-73.82,25.9,103558.0,184.27
IMU1,16.87,1,-101.47,-4.0,-0.0,25.4,103319.0,164.7
IMU2,16.87,1,-28.36,-4.59,-26.86,25.1,103486.0,178.38
IMU3,16.87,1,-107.69,-1.79,-73.71,25.9,103558.0,184.27
IMU1,16.88,1,-101.47,-4.0,-0.0,25.4,103319.0,164.7
IMU2,16.88,1,-28.45,-4.63,-26.67,25.1,103486.0,178.38
IMU3,16.88,1,-107.8,-2.0,-73.61,25.9,103558.0,184.27
IMU1,16.89,1,-101.48,-4.0,-0.0,25.4,103319.0,164.7
IMU2,16.89,1,-28.3,-4.57,-26.82,25.1,103486.0,178.38
IMU3,16.89,1,-107.77,-1.95,-73.64,25.9,103558.0,184.27
IMU1,16.9,1,-101.48,-4.0,-0.0,25.4,103319.0,164.7
IMU2,16.9,1,-28.14,-4.51,-26.96,25.1,103486.0,178.38
IMU3,16.9,1,-107.75,-1.91,-73.67,25.9,103558.0,184.27
IMU1,16.91,1,-101.48,-4.0,-0.0,25.4,103314.0,164.29
IMU2,16.91,1,-28.25,-4.56,-26.76,25.1,103482.0,178.05
IMU3,16.91,1,-107.74,-1.63,-73.84,25.9,103560.0,184.44
IMU1,16.92,1,-101.48,-4.0,-0.0,25.4,103314.0,164.29
IMU2,16.92,1,-28.36,-4.61,-26.55,25.1,103482.0,178.05
IMU3,16.92,1,-107.72,-1.56,-73.9,25.9,103560.0,184.44
IMU1,16.93,1,-101.49,-4.0,-0.0,25.4,103314.0,164.29
IMU2,16.93,1,-28.47,-4.65,-26.34,25.1,103482.0,178.05
IMU3,16.93,1,-107.69,-1.49,-73.97,25.9,103560.0,184.44
IMU1,16.94,1,-101.49,-4.0,-0.0,25.4,103314.0,164.29
IMU2,16.94,1,-28.3,-4.59,-26.5,25.1,103482.0,178.05
IMU3,16.94,1,-107.67,-1.46,-74.0,25.9,103560.0,184.44
IMU1,16.95,1,-101.49,-4.0,-0.0,25.4,103314.0,164.29
IMU2,16.95,1,-28.14,-4.52,-26.65,25.1,103482.0,178.05
IMU3,16.95,1,-107.65,-1.43,-74.02,25.9,103560.0,184.44
IMU1,16.96,1,-101.49,-4.0,-0.0,25.4,103314.0,164.29
IMU2,16.96,1,-28.24,-4.57,-26.45,25.1,103482.0,178.05
IMU3,16.96,1,-107.7,-1.59,-73.92,25.9,103560.0,184.44
IMU1,16.97,1,-101.5,-4.0,-0.0,25.4,103314.0,164.29
IMU2,16.97,1,-28.08,-4.51,-26.6,25.1,103482.0,178.05
IMU3,16.97,1,-107.75,-1.74,-73.82,25.9,103560.0,184.44
IMU1,16.98,1,-101.5,-4.0,-0.0,25.4,103314.0,164.29
IMU2,16.98,1,-27.93,-4.45,-26.75,25.1,103482.0,178.05
IMU3,16.98,1,-107.74,-1.48,-73.97,25.9,103560.0,184.44
IMU1,16.99,1,-101.5,-4.0,-0.0,25.4,103314.0,164.29
IMU2,16.99,1,-28.03,-4.49,-26.57,25.1,103482.0,178.05
IMU3,16.99,1,-107.72,-1.45,-73.99,25.9,103560.0,184.44
IMU1,17.0,1,-101.5,-4.0,-0.0,25.4,103314.0,164.29
IMU2,17.0,1,-28.12,-4.53,-26.39,25.1,103482.0,178.05
IMU3,17.0,1,-107.7,-1.43,-74.02,25.9,103560.0,184.44
IMU1,17.01,1,-101.5,-4.0,-0.0,25.4,103315.0,164.38
IMU2,17.01,1,-27.97,-4.48,-26.53,25.1,103475.0,177.48
IMU3,17.01,1,-107.69,-1.4,-74.04,25.9,103561.0,184.52
IMU1,17.02,1,-101.51,-4.0,-0.0,25.4,103315.0,164.38
IMU2,17.02,1,-27.83,-4.43,-26.66,25.1,103475.0,177.48
IMU3,17.02,1,-107.67,-1.16,-74.3,25.9,103561.0,184.52
IMU1,17.03,1,-101.51,-4.0,-0.0,25.4,103315.0,164.38
IMU2,17.03,1,-27.69,-4.37,-26.79,25.1,103475.0,177.48
IMU3,17.03,1,-107.65,-0.92,-74.51,25.9,103561.0,184.52
